,Tahun,Bulan,Karawang,Cirebon,Bandung,Cianjur,Banten,Jateng,Jatim,Gdg.Jkt,Bulog,Anpu,Total Pasokan
9,2022,2022-09,22485,29929,6249,297,438,17349,3093,150,5153,6569,91712
10,2022,2022-10,23332,25262,5775,214,689,11077,2142,525,3315,4718,77049
11,2022,2022-11,28140,17969,6231,350,649,13909,1617,570,8517,4217,82169
12,2022,2022-12,24302,14246,4564,232,519,15476,2226,0,2120,3504,67189
1,2023,2023-01,18481,5816,2976,119,533,16538,3004,495,8647,7959,64568
2,2023,2023-02,9010,3947,2287,196,1324,14476,1264,0,40623,6146,79273
3,2023,2023-03,17376,14223,4389,402,359,22898,2061,0,18298,8971,88977
4,2023,2023-04,17104,13847,4112,374,395,14858,1157,0,0,2846,54693
5,2023,2023-05,21962,24487,5543,610,1159,15116,1828,70,98,4695,75568
6,2023,2023-06,15133,13262,4568,234,1520,19452,2694,111,270,3018,60262
7,2023,2023-07,15790,17382,4558,294,455,17723,2576,0,36,2975,61789
8,2023,2023-08,15521,14253,4819,317,223,27201,3441,390,185,2587,68937
9,2023,2023-09,13346,13662,3702,243,304,15511,1858,325,5836,6098,60885
10,2023,2023-10,16018,20621,3908,284,233,9953,696,440,16590,1326,70069
11,2023,2023-11,11745,13659,3034,327,346,14189,1305,270,25786,1788,72449
12,2023,2023-12,10642,9001,3138,216,321,12169,995,20,28358,1525,66385
1,2024,2024-01,9721,8779,3086,187,164,12861,1391,2589,44097,2729,85604
2,2024,2024-02,6247,5002,2578,189,200,10828,2126,80,50574,5723,83547
3,2024,2024-03,8001,6183,3577,237,277,13355,1729,175,39053,7611,80198
4,2024,2024-04,12473,14840,4418,258,313,9945,741,0,13906,3349,60243
5,2024,2024-05,16438,18351,6435,275,616,10264,1009,100,13035,3951,70474
6,2024,2024-06,12417,17250,4497,257,718,12024,1382,0,10340,2978,61863
7,2024,2024-07,13409,14723,4524,237,763,15321,1707,0,15261,2705,68650
8,2024,2024-08,11655,13970,3643,223,870,16233,2212,0,15811,3111,67728
9,2024,2024-09,11734,15768,3988,455,391,18078,1797,25,13692,5460,71388
10,2024,2024-10,14184,18754,5009,295,396,17629,1342,0,11092,2483,71184
11,2024,2024-11,15223,20977,4679,217,1090,14637,1519,0,8619,2215,69176
12,2024,2024-12,13755,20958,4093,381,484,16164,1507,0,9628,2021,68991
1,2025,2025-01,12606,18314,4174,174,776,19354,2771,40,6330,3907,68446
2,2025,2025-02,12849,16080,3437,213,764,19757,1313,0,1705,2990,59108
3,2025,2025-03,16846,15429,3150,256,540,20360,1279,0,0,2748,60608
4,2025,2025-04,16590,15339,4205,234,379,13838,659,0,0,1303,52547
